,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.09
1,20,0.0,199,4000,0.13
2,20,0.0,299,6000,-0.03
3,20,0.0,399,8000,0.08
4,20,-1.0,499,10000,0.08
5,20,0.0,599,12000,0.02
6,20,1.0,699,14000,0.05
7,20,-1.0,799,16000,-0.13
8,20,1.0,899,18000,0.07
9,20,-1.0,999,20000,0.17
