,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,0,20,-1.0
1,20,0.0,100,2020,0.06
2,20,0.0,200,4020,-0.03
3,20,0.0,300,6020,0.02
4,20,0.0,400,8020,0.08
5,20,0.0,500,10020,0.22
6,20,1.0,600,12020,0.51
7,20,1.0,700,14020,0.14
8,20,2.0,800,16020,0.25
9,20,0.0,900,18020,0.24
10,20,1.0,1000,20020,0.17
