,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,0,20,1.0
1,20,0.0,100,2020,-0.09
2,20,-1.0,200,4020,0.05
3,20,2.0,300,6020,0.04
4,20,0.0,400,8020,-0.15
5,20,0.0,500,10020,-0.17
6,20,2.0,600,12020,-0.15
7,20,-2.0,700,14020,-0.1
8,20,0.0,800,16020,-0.02
9,20,-2.0,900,18020,-0.18
10,20,0.0,1000,20020,-0.21
